"","HH1","HH2","HH6","HH7","HH51","HH52","HC1A","HC2","HC15","HHSEX","HHAGE","helevel1","hhweight","windex5r","PSU","stratum","UN16AA","UN16AB","UN16AC","UN16AD","UN16AE","UN16AF","UN16AG","UN16AH","WAGE","WM17","MSTATUS","welevel1","wmweight","CM4","Ethnicity","HH51_grouped","HH52_grouped","HHAGEx"
"1",1,11,"RURAL","PROVINCE NO. 1",1,0,"OTHER","Limbu","YES","Male",73,"Secondary (Gr 9-12)",0.503283785129447,"Second",1,"Province 1 Rural",0,0,0,0,0,0,0,0,"30-34","COMPLETED","Ever Married","Secondary (Gr 9-12)",0.509258951956103,0,"Janajati","1","0","70 plus"
"2",1,12,"RURAL","PROVINCE NO. 1",2,4,"OTHER","Limbu","YES","Male",37,"Basic (Gr 1-8)",0.503283785129447,"Second",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"35-39","COMPLETED","Ever Married","None",0.509258951956103,2,"Janajati","2","3 and more","35 to 39"
"3",1,14,"RURAL","PROVINCE NO. 1",0,4,"HINDU","Brahman - Hill","YES","Male",38,"Secondary (Gr 9-12)",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,1,0,0,0,1,"35-39","COMPLETED","Ever Married","Secondary (Gr 9-12)",1.33326822838508,3,"Brahman or Chhetri","0","3 and more","35 to 39"
"4",1,14,"RURAL","PROVINCE NO. 1",0,4,"HINDU","Brahman - Hill","YES","Male",38,"Secondary (Gr 9-12)",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,1,0,0,0,1,"15-19","COMPLETED","Never Married","Secondary (Gr 9-12)",1.33326822838508,NA,"Brahman or Chhetri","0","3 and more","35 to 39"
"5",1,16,"RURAL","PROVINCE NO. 1",1,1,"HINDU","Limbu","YES","Male",56,"Secondary (Gr 9-12)",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"30-34","COMPLETED","Ever Married","Secondary (Gr 9-12)",1.33326822838508,NA,"Janajati","1","1","50 to 59"
"6",1,16,"RURAL","PROVINCE NO. 1",1,1,"HINDU","Limbu","YES","Male",56,"Secondary (Gr 9-12)",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"20-24","COMPLETED","Ever Married","Secondary (Gr 9-12)",1.33326822838508,1,"Janajati","1","1","50 to 59"
"7",1,17,"RURAL","PROVINCE NO. 1",0,0,"HINDU","Dalit Others","YES","Male",48,"None",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"45-49","COMPLETED","Ever Married","None",1.33326822838508,NA,"Dalits","0","0","45 to 49"
"8",1,18,"RURAL","PROVINCE NO. 1",0,1,"HINDU","Kami","YES","Male",86,"None",1.31762490967918,"Second",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"35-39","COMPLETED","Ever Married","Higher",1.33326822838508,1,"Dalits","0","1","70 plus"
"9",1,19,"RURAL","PROVINCE NO. 1",0,0,"OTHER","Limbu","YES","Male",30,"Basic (Gr 1-8)",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"20-24","COMPLETED","Ever Married","Basic (Gr 1-8)",1.33326822838508,NA,"Janajati","0","0","30 to 34"
"10",1,20,"RURAL","PROVINCE NO. 1",0,0,"HINDU","Limbu","NO","Male",78,"None",1.31762490967918,"Second",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"20-24","COMPLETED","Never Married","Secondary (Gr 9-12)",1.33326822838508,NA,"Janajati","0","0","70 plus"
"11",1,21,"RURAL","PROVINCE NO. 1",0,1,"OTHER","Limbu","YES","Male",28,"Secondary (Gr 9-12)",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"25-29","COMPLETED","Ever Married","Secondary (Gr 9-12)",1.33326822838508,1,"Janajati","0","1","25 to 29"
"12",1,22,"RURAL","PROVINCE NO. 1",0,0,"OTHER","Limbu","YES","Female",50,"None",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,0,0,0,0,1,"20-24","COMPLETED","Ever Married","Basic (Gr 1-8)",1.33326822838508,NA,"Janajati","0","0","50 to 59"
"13",1,24,"RURAL","PROVINCE NO. 1",0,3,"BUDDHIST","Tamang","YES","Female",38,"Secondary (Gr 9-12)",1.31762490967918,"Poorest",1,"Province 1 Rural",0,0,0,0,0,0,0,0,"35-39","COMPLETED","Ever Married","Secondary (Gr 9-12)",1.33326822838508,2,"Janajati","0","3 and more","35 to 39"
"14",1,25,"RURAL","PROVINCE NO. 1",0,3,"HINDU","Gurung","YES","Male",51,"Basic (Gr 1-8)",1.31762490967918,"Second",1,"Province 1 Rural",0,0,0,1,0,0,0,1,"20-24","COMPLETED","Never Married","Secondary (Gr 9-12)",1.33326822838508,NA,"Janajati","0","3 and more","50 to 59"
"15",1,25,"RURAL","PROVINCE NO. 1",0,3,"HINDU","Gurung","YES","Male",51,"Basic (Gr 1-8)",1.31762490967918,"Second",1,"Province 1 Rural",0,0,0,1,0,0,0,1,"15-19","COMPLETED","Never Married","Secondary (Gr 9-12)",1.33326822838508,NA,"Janajati","0","3 and more","50 to 59"
"16",1,25,"RURAL","PROVINCE NO. 1",0,3,"HINDU","Gurung","YES","Male",51,"Basic (Gr 1-8)",1.31762490967918,"Second",1,"Province 1 Rural",0,0,0,1,0,0,0,1,"15-19","COMPLETED","Never Married","Secondary (Gr 9-12)",1.33326822838508,NA,"Janajati","0","3 and more","50 to 59"
"17",1,3,"RURAL","PROVINCE NO. 1",1,0,"HINDU","Brahman - Hill","YES","Male",55,"Secondary (Gr 9-12)",0.503283785129447,"Second",1,"Province 1 Rural",0,0,0,1,0,0,0,1,"20-24","COMPLETED","Ever Married","Secondary (Gr 9-12)",0.509258951956103,0,"Brahman or Chhetri","1","0","50 to 59"
"18",1,5,"RURAL","PROVINCE NO. 1",1,2,"HINDU","Gharti/Bhujel","NO","Male",36,"Secondary (Gr 9-12)",0.503283785129447,"Poorest",1,"Province 1 Rural",0,0,0,0,0,0,1,1,"30-34","COMPLETED","Ever Married","Secondary (Gr 9-12)",0.509258951956103,2,"Janajati","1","2","35 to 39"
"19",1,6,"RURAL","PROVINCE NO. 1",2,1,"HINDU","Dalit Others","YES","Male",44,"Secondary (Gr 9-12)",0.503283785129447,"Second",1,"Province 1 Rural",0,0,0,1,1,0,0,1,"40-44","COMPLETED","Ever Married","Basic (Gr 1-8)",0.509258951956103,4,"Dalits","2","1","40 to 44"
