"","HH1","HH2","HH6","HH7","HH49","stratum","windex5r","HH51","HH52","HC1A","EthnicityGroup","HC15","helevel1","hhweight","HHAGEx","HHSEX","HHAGE","UN16AA","UN16AB","UN16AC","UN16AD","UN16AE","UN16AF","UN16AG","UN16AH","WAGE","WM17","CM4","MSTATUS","welevel1","wmweight","WB4","HC1A_combined","CM4_grouped","MSTATUS_grouped","HH51_grouped","HH52_grouped"
"1",1,11,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Second",1,0,"KIRAT","Janajati","YES","Secondary (Gr 9-12)",0.503283785129447,"50+","Male",73,"NO","NO","NO","NO","NO","NO","NO","NO","30-34","COMPLETED",0,"Currently married/in union","Secondary (Gr 9-12)",0.509258951956103,31,"OTHER","0","Ever Married","1","0"
"2",1,12,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Second",2,4,"KIRAT","Janajati","YES","Basic (Gr 1-8)",0.503283785129447,"25-49","Male",37,"NO","NO","NO","NO","NO","NO","NO","YES","35-39","COMPLETED",2,"Currently married/in union","None",0.509258951956103,37,"OTHER","2","Ever Married","2","4+"
"3",1,14,"RURAL","PROVINCE NO. 1",2,"Province 1 Rural","Poorest",0,4,"HINDU","Brahman/Chhetri","YES","Secondary (Gr 9-12)",1.31762490967918,"25-49","Male",38,"NO","NO","NO","YES","NO","NO","NO","YES","35-39","COMPLETED",3,"Currently married/in union","Secondary (Gr 9-12)",1.33326822838508,38,"HINDU","More than 2","Ever Married","0","4+"
"4",1,14,"RURAL","PROVINCE NO. 1",2,"Province 1 Rural","Poorest",0,4,"HINDU","Brahman/Chhetri","YES","Secondary (Gr 9-12)",1.31762490967918,"25-49","Male",38,"NO","NO","NO","YES","NO","NO","NO","YES","15-19","COMPLETED",NA,"Never married/in union","Secondary (Gr 9-12)",1.33326822838508,16,"HINDU",NA,"Never Married","0","4+"
"5",1,16,"RURAL","PROVINCE NO. 1",2,"Province 1 Rural","Poorest",1,1,"HINDU","Janajati","YES","Secondary (Gr 9-12)",1.31762490967918,"50+","Male",56,"NO","NO","NO","NO","NO","NO","NO","YES","30-34","COMPLETED",NA,"Currently married/in union","Secondary (Gr 9-12)",1.33326822838508,30,"HINDU",NA,"Ever Married","1","1"
"6",1,16,"RURAL","PROVINCE NO. 1",2,"Province 1 Rural","Poorest",1,1,"HINDU","Janajati","YES","Secondary (Gr 9-12)",1.31762490967918,"50+","Male",56,"NO","NO","NO","NO","NO","NO","NO","YES","20-24","COMPLETED",1,"Currently married/in union","Secondary (Gr 9-12)",1.33326822838508,24,"HINDU","1","Ever Married","1","1"
"7",1,17,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Poorest",0,0,"HINDU","Dalits","YES","None",1.31762490967918,"25-49","Male",48,"NO","NO","NO","NO","NO","NO","NO","YES","45-49","COMPLETED",NA,"Currently married/in union","None",1.33326822838508,45,"HINDU",NA,"Ever Married","0","0"
"8",1,18,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Second",0,1,"HINDU","Dalits","YES","None",1.31762490967918,"50+","Male",86,"NO","NO","NO","NO","NO","NO","NO","YES","35-39","COMPLETED",1,"Currently married/in union","Higher",1.33326822838508,37,"HINDU","1","Ever Married","0","1"
"9",1,19,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Poorest",0,0,"KIRAT","Janajati","YES","Basic (Gr 1-8)",1.31762490967918,"25-49","Male",30,"NO","NO","NO","NO","NO","NO","NO","YES","20-24","COMPLETED",NA,"Currently married/in union","Basic (Gr 1-8)",1.33326822838508,23,"OTHER",NA,"Ever Married","0","0"
"10",1,20,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Second",0,0,"HINDU","Janajati","NO","None",1.31762490967918,"50+","Male",78,"NO","NO","NO","NO","NO","NO","NO","YES","20-24","COMPLETED",NA,"Never married/in union","Secondary (Gr 9-12)",1.33326822838508,20,"HINDU",NA,"Never Married","0","0"
"11",1,21,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Poorest",0,1,"KIRAT","Janajati","YES","Secondary (Gr 9-12)",1.31762490967918,"25-49","Male",28,"NO","NO","NO","NO","NO","NO","NO","YES","25-29","COMPLETED",1,"Currently married/in union","Secondary (Gr 9-12)",1.33326822838508,28,"OTHER","1","Ever Married","0","1"
"12",1,22,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Poorest",0,0,"KIRAT","Janajati","YES","None",1.31762490967918,"50+","Female",50,"NO","NO","NO","NO","NO","NO","NO","YES","20-24","COMPLETED",NA,"Currently married/in union","Basic (Gr 1-8)",1.33326822838508,20,"OTHER",NA,"Ever Married","0","0"
"13",1,24,"RURAL","PROVINCE NO. 1",1,"Province 1 Rural","Poorest",0,3,"BUDDHIST","Janajati","YES","Secondary (Gr 9-12)",1.31762490967918,"25-49","Female",38,"NO","NO","NO","NO","NO","NO","NO","NO","35-39","COMPLETED",2,"Currently married/in union","Secondary (Gr 9-12)",1.33326822838508,38,"BUDDHIST","2","Ever Married","0","3"
